DateTime,NotArchived,WaitingForFlush,Total
1/5/2016,126.1,14.8,140.9
1/6/2016,117.7,12,129.7
1/7/2016,110,12.1,122.1
1/8/2016,111.5,18.75,130.25
1/9/2016,110,12.1,122.1
1/10/2016,99.4,8,107.4
1/11/2016,93.4,10.8,104.2
1/12/2016,93.5,14.5,108
1/13/2016,94.4,12,106.4
1/14/2016,92.75,11.5,104.25
1/15/2016,90.8,12.65,103.45
1/16/2016,81,7.33,88.33
1/17/2016,78,8,86
1/18/2016,79.88,11,90.88
1/19/2016,81.3,16.3,97.6
1/20/2016,75,14.7,89.7
1/21/2016,74.55,11.65,86.2
1/22/2016,71.3,12.4,83.7
1/23/2016,64.13,7.73,71.86
1/24/2016,59.12,8,67.12
1/25/2016,57.45,14,71.45
1/26/2016,58.33,12,70.33
1/27/2016,54.83,13.4,68.23
1/28/2016,56.26,12.34,68.6
1/29/2016,49,11.47,60.47
1/30/2016,46.66,8.87,55.53
1/31/2016,43,8.25,51.25
2/1/2016,44.12,12.08,56.2
2/2/2016,46.5,12,58.5
2/3/2016,44,14.58,58.58
2/4/2016,38.2,13,51.2
